date,expinf5yr,unrate,nrou,core_pce,mich,gdp,job_openings,median_cpi,FRB_exp,core_pce_changeA,unrate_slack,FRB_post1991,lagged_1,lagged_2,predicted_1980_2019,predicted_1970_2019
1997-05-01,3.3190744,4.9,5.332409381866455,71.652,2.9,8518.825,NA,2.63567345485551,2.45,2.0466635936246425,-0.4324093818664547,2.45,1.4093956222013704,2.7198231475689782,2.0261543478924477,2.193099315663572
1997-08-01,3.1359342,4.8,5.323080539703369,71.778,2.7,8662.823,NA,2.31561868855912,2.6,0.7052573337400281,-0.5230805397033693,2.6,2.0466635936246425,1.4093956222013704,2.008051171160864,2.027393630695354
1997-11-01,3.0804703,4.6,5.31369,72.058,2.9,8765.907,NA,2.7079596776415897,2.25,1.5695207443957138,-0.7136900000000006,2.25,0.7052573337400281,2.0466635936246425,1.797770693645391,1.6534280118157034
1998-02-01,2.880843,4.6,5.304222,72.272,2.4,8866.48,NA,2.87065094209522,2.2,1.1932343625552289,-0.7042220000000006,2.2,1.5695207443957138,0.7052573337400281,1.6744233329970828,1.487208711162449
1998-05-01,2.9397546,4.4,5.294664,72.552,2.6,8969.699,NA,3.03777216799082,2.1,1.5587303133159702,-0.8946639999999997,2.1,1.1932343625552289,1.5695207443957138,1.6986955182105432,1.644380828385786
1998-08-01,2.8945642,4.5,5.285001,72.807,2.4,9121.097,NA,3.3717716016433705,2.1,1.4133175291179745,-0.7850010000000003,2.1,1.5587303133159702,1.1932343625552289,1.6763173936368658,1.63600258327628
1998-11-01,2.4871923,4.4,5.275233,72.95,2.3,9293.991,NA,2.1930187838977,2.1,0.7879563816381996,-0.8752329999999997,2.1,1.4133175291179745,1.5587303133159702,1.7118925253219122,1.7224549095148514
1999-02-01,2.5762176,4.4,5.265363,73.155,2.5,9411.682,NA,1.7404106130861599,1.9,1.1288046018555375,-0.8653629999999994,1.9,0.7879563816381996,1.4133175291179745,1.5381568873179896,1.365503039645739
1999-05-01,2.8328002,4.2,5.255394458770752,73.435,2.8,9526.21,NA,1.7151774759723402,2.1,1.5398080867020436,-1.0553944587707518,2.1,1.1288046018555375,0.7879563816381996,1.610675919445013,1.3599219660940716
1999-08-01,3.0416531,4.2,5.245333671569824,73.642,2.8,9686.626,NA,2.3615824284601,2.1,1.1323041565484582,-1.045333671569824,2.1,1.5398080867020436,1.1288046018555375,1.6778947369239159,1.6382936099143608
1999-11-01,3.1453348,4.1,5.235184669494629,74.034,2.9,9900.169,NA,2.18775527240926,2.1,2.1462810627630446,-1.1351846694946293,2.1,1.1323041565484582,1.5398080867020436,1.7005810146961737,1.640517955732367
2000-02-01,3.3621613,4.1,5.224948,74.415,2.9,10002.179,NA,2.78558392501993,2.1,2.0744587884680143,-1.1249480000000007,2.1,2.1462810627630446,1.1323041565484582,1.7233524112048337,1.8820253368976916
2000-05-01,3.3170395,4,5.214622,74.697,3,10247.72,NA,2.85353384475986,2.1,1.5244616641204578,-1.2146220000000003,2.1,2.0744587884680143,2.1462810627630446,1.8386036997927437,2.228857254008968
2000-08-01,3.1030372,4.1,5.204211,75.021,2.7,10318.165,NA,2.87570061509343,2.1,1.7463305827511766,-1.1042110000000003,2.1,1.5244616641204578,2.0744587884680143,1.7879690142185654,1.978449793607829
2000-11-01,2.9938058,3.9,5.193731,75.441,2.9,10435.744,NA,2.65177399972001,2.1,2.2582487286916697,-1.2937309999999997,2.1,1.7463305827511766,1.5244616641204578,1.7475145458447257,1.890286237716651
2001-02-01,2.621347,4.2,5.183196544647217,75.93,2.8,10470.231,3.7,2.8367889543748905,2.1,2.6180726252786224,-0.9831965446472166,2.1,2.2582487286916697,1.7463305827511766,1.7961308287749205,2.1270872782106087
2001-05-01,2.7393712,4.3,5.172613620758057,76.148,3.2,10599,3.2,3.5011161919658704,2.1,1.1533814654089758,-0.8726136207580568,2.1,2.6180726252786224,2.2582487286916697,1.875519968422387,2.4345074485023512
2001-08-01,2.6512123,4.9,5.161983,76.553,2.7,10598.02,3,3.80544284558475,2.1,2.1444687457295775,-0.26198299999999985,2.1,1.1533814654089758,2.6180726252786224,1.7915596508600213,1.9253414443032066
2001-11-01,2.3031101,5.5,5.151313,76.81,0.4,10660.465,2.8,3.4431714115967296,2.15,1.3496379279666737,0.34868699999999997,2.15,2.1444687457295775,1.1533814654089758,1.6957103567209302,1.7202093494512585
2002-02-01,2.598242,5.7,5.140615463256836,77.018,2.1,10783.5,2.6,3.38352407504046,2.1,1.0876001370555777,0.5593845367431642,2.1,1.3496379279666737,2.1444687457295775,1.7181372988437775,1.7280551542094302
2002-05-01,2.726947,5.8,5.129905,77.411,2.7,10887.46,2.6,2.42019843819257,2.1,2.0567570666446766,0.6700949999999999,2.1,1.0876001370555777,1.3496379279666737,1.6041996502366154,1.3290774844481739
2002-08-01,2.2898134,5.7,5.119209,77.845,2.6,10984.04,2.6,2.28572177593909,2.1,2.261505223014937,0.5807910000000005,2.1,2.0567570666446766,1.0876001370555777,1.6445487799257004,1.6179695560628224
2002-11-01,2.0833957,5.9,5.1085615158081055,78.114,2.4,11061.433,2.6,1.9109760074518303,2.05,1.3894150858504872,0.7914384841918949,2.05,2.261505223014937,2.0567570666446766,1.7335227322580844,2.0011754299568913
2003-02-01,2.1441728,5.9,5.09799,78.348,2.7,11174.129,2.4,1.9758302344968102,2.1,1.203643724177872,0.8020100000000001,2.1,1.3894150858504872,2.261505223014937,1.7247542793996276,1.7548177129286937
2003-05-01,1.9938746,6.1,5.087525,78.674,2,11312.766,2.5,1.0757881864280399,2.1,1.6747860385850188,1.0124749999999993,2.1,1.203643724177872,1.3894150858504872,1.6032510875299244,1.3449107125015376
2003-08-01,2.1533766,6.1,5.077202,79.004,2.5,11566.669,2.4,2.35741426924818,2.1,1.6883956662577582,1.0227979999999999,2.1,1.6747860385850188,1.203643724177872,1.6140228523832123,1.457709273011659
